x_m,y_m,psi_rad,vx_mps,ax_mps2,ay_mps2
-2.448093671014163775e+01,-1.186246938837220455e+01,-1.660351845287284744e+00,6.185136473829491166e+00,2.385007701181791617e-01,1.093881478653656369e+00
-2.450199113505393456e+01,-1.210606450540981172e+01,-1.654039281750498303e+00,6.302074854953622740e+00,2.286642557094111794e-01,1.074088324545330098e+00
-2.452169949611890232e+01,-1.235102230836379178e+01,-1.648400848928901929e+00,6.413800729538902345e+00,2.179348558069280628e-01,1.071455738473699792e+00
-2.454018349315453662e+01,-1.259721702562968382e+01,-1.643167517561454627e+00,6.520009710760550803e+00,2.068719169996215967e-01,1.090327644584645261e+00
-2.455745455608325756e+01,-1.284421047259868232e+01,-1.637929700646991948e+00,6.620672646538523942e+00,1.960043060629734768e-01,1.132964152233475463e+00
-2.457339876136008883e+01,-1.309123888268806368e+01,-1.632281752780908368e+00,6.716014016823524280e+00,1.858061906937340524e-01,1.197933196959664937e+00
-2.458781098946459664e+01,-1.333730569824026979e+01,-1.625960653064396633e+00,6.806478837232257995e+00,1.766755716259931219e-01,1.279836893772970718e+00
-2.460046539193880122e+01,-1.358139568005501019e+01,-1.618915357236541785e+00,6.892689588449517402e+00,1.689162574681892792e-01,1.370479212187479368e+00
-2.461118861617734410e+01,-1.382275980111897873e+01,-1.611291033805767992e+00,6.975395094700447274e+00,1.627241148465188303e-01,1.461009892249726994e+00
-2.461990447912293689e+01,-1.406117345629853688e+01,-1.603350872267131022e+00,7.055413703296036232e+00,1.581784206017475825e-01,1.544220670835193099e+00
-2.462663377013099364e+01,-1.429703143029292534e+01,-1.595367155465821529e+00,7.133573515302194856e+00,1.552390710300457499e-01,1.616160949621046949e+00
-2.463145597083942562e+01,-1.453120916953223940e+01,-1.587524837479656448e+00,7.210652774326081982e+00,1.537499264369621699e-01,1.676549568099726661e+00
-2.463445859959212925e+01,-1.476474189698420503e+01,-1.579876233693814580e+00,7.287323441739157026e+00,1.534463309743117065e-01,1.727924816194563729e+00
-2.463569877532308894e+01,-1.499847033545901631e+01,-1.572361621509394958e+00,7.364099105300393688e+00,1.539635313772436120e-01,1.773896539864830535e+00
-2.463519127168778056e+01,-1.523281445257389599e+01,-1.564871051884986874e+00,7.441286973116400638e+00,1.548509239875359711e-01,1.817103407510612056e+00
